,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
9712,2568300045,3/19/2015,649950.0,6,2.0,1900,8240,1.0,NO,NONE,Fair,7 Average,1200,700.0,1964,,98125,47.7037,-122.296,1900,8240
9810,3598600049,10/3/2014,124000.0,1,0.75,840,7203,1.5,NO,NONE,Average,6 Low Average,840,0.0,1949,,98168,47.4756,-122.301,1560,8603
9811,3598600049,4/24/2015,224000.0,1,0.75,840,7203,1.5,NO,NONE,Average,6 Low Average,840,0.0,1949,0.0,98168,47.4756,-122.301,1560,8603
9865,1219000473,6/26/2014,164950.0,3,1.75,1570,15330,1.0,NO,NONE,Average,7 Average,1080,490.0,1956,0.0,98166,47.4608,-122.34,1250,13330
9866,1219000473,3/23/2015,371000.0,3,1.75,1570,15330,1.0,NO,NONE,Average,7 Average,1080,490.0,1956,0.0,98166,47.4608,-122.34,1250,13330
10210,3293700496,8/14/2014,270000.0,4,1.75,1850,7730,1.0,NO,NONE,Very Good,7 Average,1100,750.0,1956,0.0,98133,47.7481,-122.355,2260,8581
10211,3293700496,12/4/2014,450000.0,4,1.75,1850,7730,1.0,,NONE,Very Good,7 Average,1100,750.0,1956,0.0,98133,47.7481,-122.355,2260,8581
10215,8945100320,5/6/2014,136500.0,3,1.5,1420,8580,1.0,NO,NONE,Average,6 Low Average,1420,0.0,1962,,98023,47.3076,-122.362,1200,8580
10216,8945100320,10/8/2014,224097.0,3,1.5,1420,8580,1.0,NO,NONE,Average,6 Low Average,1420,0.0,1962,0.0,98023,47.3076,-122.362,1200,8580
10242,2422049104,9/15/2014,85000.0,2,1.0,830,9000,1.0,NO,NONE,Average,6 Low Average,830,0.0,1939,0.0,98032,47.3813,-122.243,1160,7680
10243,2422049104,12/30/2014,235000.0,2,1.0,830,9000,1.0,NO,NONE,Average,6 Low Average,830,0.0,1939,0.0,98032,47.3813,-122.243,1160,7680
10246,1995200200,5/6/2014,313950.0,3,1.0,1510,6083,1.0,NO,NONE,Good,6 Low Average,860,650.0,1940,0.0,98115,47.6966,-122.324,1510,5712
10247,1995200200,10/8/2014,415000.0,3,1.0,1510,6083,1.0,NO,NONE,Good,6 Low Average,860,650.0,1940,0.0,98115,47.6966,-122.324,1510,5712
10261,1450100390,9/5/2014,125000.0,3,1.0,920,7314,1.0,,NONE,Average,6 Low Average,920,0.0,1960,0.0,98002,47.2892,-122.22,1010,7420
10262,1450100390,3/16/2015,208000.0,3,1.0,920,7314,1.0,NO,NONE,Average,6 Low Average,920,0.0,1960,,98002,47.2892,-122.22,1010,7420
10308,6623400187,9/23/2014,185000.0,4,1.0,1760,8906,1.0,NO,NONE,Average,7 Average,1230,530.0,1966,0.0,98055,47.4288,-122.198,1180,10407
10309,6623400187,2/20/2015,365000.0,4,1.0,1760,8906,1.0,NO,NONE,Average,7 Average,1230,530.0,1966,0.0,98055,47.4288,-122.198,1180,10407
10598,2767603612,5/12/2014,500000.0,2,2.25,1290,1334,3.0,NO,NONE,Average,8 Good,1290,0.0,2007,0.0,98107,47.6719,-122.382,1350,1334
10599,2767603612,1/13/2015,489000.0,2,2.25,1290,1334,3.0,NO,NONE,Average,8 Good,1290,0.0,2007,,98107,47.6719,-122.382,1350,1334
10904,7227800055,9/9/2014,199500.0,4,2.0,1750,8116,1.0,NO,NONE,Good,5 Fair,1750,0.0,1943,0.0,98056,47.5097,-122.181,1440,7865
10905,7227800055,11/24/2014,247000.0,4,2.0,1750,8116,1.0,NO,NONE,Good,5 Fair,1750,0.0,1943,0.0,98056,47.5097,-122.181,1440,7865
10957,3271300955,7/3/2014,554729.0,4,2.5,2020,4350,2.0,NO,NONE,Very Good,9 Better,1730,290.0,1943,0.0,98199,47.6503,-122.41,1620,5800
10958,3271300955,2/24/2015,868000.0,4,2.5,2020,4350,2.0,NO,NONE,Very Good,9 Better,1730,290.0,1943,0.0,98199,47.6503,-122.41,1620,5800
11049,6141100320,7/7/2014,245000.0,2,1.0,1500,6685,1.0,,NONE,Average,7 Average,1190,310.0,1926,,98133,47.7186,-122.354,1420,6561
11050,6141100320,2/13/2015,570000.0,2,1.0,1500,6685,1.0,NO,NONE,Average,7 Average,1190,310.0,1926,0.0,98133,47.7186,-122.354,1420,6561
11182,1139600270,7/1/2014,300000.0,3,2.75,2090,9620,1.0,NO,NONE,Average,8 Good,1340,750.0,1987,0.0,98023,47.2741,-122.337,2150,9660
11183,1139600270,3/24/2015,310000.0,3,2.75,2090,9620,1.0,NO,NONE,Average,8 Good,1340,750.0,1987,0.0,98023,47.2741,-122.337,2150,9660
11190,8161020060,6/20/2014,443500.0,4,2.5,2040,21781,2.0,NO,NONE,Average,8 Good,2040,0.0,1994,0.0,98014,47.6458,-121.904,2410,21781
11191,8161020060,4/14/2015,471000.0,4,2.5,2040,21781,2.0,NO,NONE,Average,8 Good,2040,0.0,1994,0.0,98014,47.6458,-121.904,2410,21781
11275,5101402435,6/3/2014,312000.0,3,2.25,1540,5338,1.0,NO,NONE,Very Good,7 Average,770,770.0,1954,0.0,98115,47.6942,-122.304,1680,6525
11276,5101402435,3/4/2015,539000.0,3,2.25,1540,5338,1.0,NO,NONE,Very Good,7 Average,770,770.0,1954,0.0,98115,47.6942,-122.304,1680,6525
11350,7701960990,6/16/2014,862000.0,4,2.5,3190,14565,2.0,NO,NONE,Average,11 Excellent,3190,0.0,1990,0.0,98077,47.713,-122.072,3420,20475
11351,7701960990,8/19/2014,870000.0,4,2.5,3190,14565,2.0,NO,NONE,Average,11 Excellent,3190,0.0,1990,0.0,98077,47.713,-122.072,3420,20475
11421,109200390,8/20/2014,245000.0,3,1.75,1480,3900,1.0,NO,NONE,Good,7 Average,1480,0.0,1980,0.0,98023,47.2977,-122.367,1830,6956
11422,109200390,10/20/2014,250000.0,3,1.75,1480,3900,1.0,NO,NONE,Good,7 Average,1480,0.0,1980,0.0,98023,47.2977,-122.367,1830,6956
11446,4305200070,5/19/2014,350000.0,3,2.25,1640,7200,2.0,,NONE,Good,8 Good,1640,0.0,1985,0.0,98007,47.5948,-122.153,1830,8372
11447,4305200070,9/22/2014,561000.0,3,2.25,1640,7200,2.0,NO,NONE,Good,8 Good,1640,0.0,1985,,98007,47.5948,-122.153,1830,8372
11574,8807810890,8/27/2014,259875.0,3,1.0,1250,21303,1.0,,NONE,Average,6 Low Average,1250,0.0,1970,0.0,98053,47.6625,-122.059,1250,17920
11575,8807810890,11/5/2014,385000.0,3,1.0,1250,21303,1.0,NO,NONE,Average,6 Low Average,1250,0.0,1970,,98053,47.6625,-122.059,1250,17920
11763,2892700041,7/14/2014,168000.0,3,1.5,1370,7439,1.0,NO,NONE,Good,6 Low Average,1370,0.0,1963,,98055,47.4499,-122.189,2350,3370
11764,2892700041,1/28/2015,238000.0,3,1.5,1370,7439,1.0,,NONE,Good,6 Low Average,1370,0.0,1963,0.0,98055,47.4499,-122.189,2350,3370
12018,7230400400,9/26/2014,240000.0,3,2.0,1220,17652,1.0,NO,NONE,Good,7 Average,1220,0.0,1980,0.0,98059,47.4712,-122.1,1990,17652
12019,7230400400,3/26/2015,415500.0,3,2.0,1220,17652,1.0,NO,NONE,Good,7 Average,1220,0.0,1980,0.0,98059,47.4712,-122.1,1990,17652
12053,1036400200,2/13/2015,661000.0,4,1.75,1670,13125,1.0,NO,NONE,Very Good,8 Good,1670,0.0,1973,0.0,98052,47.6315,-122.101,2360,12500
12054,1036400200,4/29/2015,697000.0,4,1.75,1670,13125,1.0,NO,NONE,Very Good,8 Good,1670,0.0,1973,0.0,98052,47.6315,-122.101,2360,12500
12109,7520000695,11/4/2014,151100.0,3,1.0,840,4495,1.0,NO,NONE,Average,6 Low Average,840,0.0,1921,0.0,98146,47.496,-122.349,1260,7434
12110,7520000695,4/21/2015,251000.0,3,1.0,840,4495,1.0,NO,NONE,Average,6 Low Average,840,0.0,1921,,98146,47.496,-122.349,1260,7434
12196,4031000520,7/8/2014,115000.0,1,2.0,1150,9812,1.0,NO,NONE,Good,7 Average,1150,0.0,1962,0.0,98001,47.2951,-122.284,1200,9812
12197,4031000520,11/25/2014,227000.0,1,2.0,1150,9812,1.0,NO,NONE,Good,7 Average,1150,0.0,1962,0.0,98001,47.2951,-122.284,1200,9812
12320,5430300171,7/3/2014,430000.0,3,1.5,1810,5080,1.0,NO,NONE,Average,7 Average,1030,780.0,1958,0.0,98115,47.6819,-122.287,1780,7620
12321,5430300171,1/29/2015,615500.0,3,1.5,1810,5080,1.0,NO,NONE,Average,7 Average,1030,780.0,1958,0.0,98115,47.6819,-122.287,1780,7620
12326,5132000140,6/18/2014,175000.0,6,1.0,1370,5080,1.5,NO,NONE,Average,6 Low Average,1120,250.0,1931,0.0,98106,47.5238,-122.35,1020,5080
12327,5132000140,1/20/2015,415000.0,6,1.0,1370,5080,1.5,,NONE,Average,6 Low Average,1120,250.0,1931,0.0,98106,47.5238,-122.35,1020,5080
12365,7899800045,8/28/2014,107000.0,3,1.5,910,5120,1.0,NO,NONE,Average,6 Low Average,910,0.0,1973,,98106,47.5238,-122.356,1410,5132
12366,7899800045,12/2/2014,232900.0,3,1.5,910,5120,1.0,NO,NONE,Average,6 Low Average,910,0.0,1973,0.0,98106,47.5238,-122.356,1410,5132
12376,3935900232,9/29/2014,207000.0,3,1.0,920,5546,1.0,NO,NONE,Fair,6 Low Average,920,?,1928,0.0,98125,47.7114,-122.284,1300,5546
12377,3935900232,1/12/2015,237000.0,3,1.0,920,5546,1.0,NO,NONE,Fair,6 Low Average,920,0.0,1928,0.0,98125,47.7114,-122.284,1300,5546
12405,123039336,6/11/2014,148000.0,1,1.0,620,8261,1.0,NO,NONE,Average,5 Fair,620,0.0,1939,0.0,98106,47.5138,-122.364,1180,8244
12406,123039336,12/8/2014,244900.0,1,1.0,620,8261,1.0,NO,NONE,Average,5 Fair,620,0.0,1939,,98106,47.5138,-122.364,1180,8244
12422,1217000340,6/6/2014,185000.0,3,1.0,1840,8100,1.0,NO,NONE,Good,7 Average,920,920.0,1953,,98166,47.455,-122.35,1250,8100
12423,1217000340,2/19/2015,340000.0,3,1.0,1840,8100,1.0,NO,NONE,Good,7 Average,920,920.0,1953,0.0,98166,47.455,-122.35,1250,8100
12819,9238500040,6/24/2014,400000.0,3,2.5,2970,23100,1.0,NO,NONE,Average,7 Average,1510,1460.0,1967,0.0,98072,47.7735,-122.133,2390,20300
12820,9238500040,2/10/2015,599000.0,3,2.5,2970,23100,1.0,NO,NONE,Average,7 Average,1510,1460.0,1967,0.0,98072,47.7735,-122.133,2390,20300
12907,8910500150,5/29/2014,329932.0,3,1.5,1460,5040,1.0,NO,NONE,Average,7 Average,1100,360.0,1971,0.0,98133,47.7112,-122.357,2330,7560
12908,8910500150,1/20/2015,539000.0,3,1.5,1460,5040,1.0,NO,NONE,Average,7 Average,1100,360.0,1971,0.0,98133,47.7112,-122.357,2330,7560
12942,2019200220,9/23/2014,160000.0,3,2.25,1470,8682,1.0,NO,NONE,Average,7 Average,1160,310.0,1985,0.0,98003,47.2729,-122.299,1670,8359
12943,2019200220,2/26/2015,269000.0,3,2.25,1470,8682,1.0,NO,NONE,Average,7 Average,1160,310.0,1985,,98003,47.2729,-122.299,1670,8359
13010,9211500620,10/8/2014,182700.0,3,2.25,1740,6650,1.0,NO,NONE,Average,7 Average,1240,500.0,1978,0.0,98023,47.2979,-122.379,1740,7000
13011,9211500620,4/28/2015,305000.0,3,2.25,1740,6650,1.0,NO,NONE,Average,7 Average,1240,500.0,1978,0.0,98023,47.2979,-122.379,1740,7000
13170,1523049207,8/5/2014,161000.0,4,2.0,1700,8043,1.0,NO,NONE,Average,7 Average,850,850.0,1954,0.0,98168,47.4758,-122.288,1540,13260
13171,1523049207,1/14/2015,220000.0,4,2.0,1700,8043,1.0,NO,NONE,Average,7 Average,850,850.0,1954,0.0,98168,47.4758,-122.288,1540,13260
13285,7167000040,8/13/2014,740000.0,4,3.0,3350,199253,2.0,,NONE,Average,10 Very Good,3350,0.0,2004,0.0,98010,47.3602,-121.988,3350,183897
13286,7167000040,3/5/2015,700000.0,4,3.0,3350,199253,2.0,NO,NONE,Average,10 Very Good,3350,0.0,2004,0.0,98010,47.3602,-121.988,3350,183897
13604,3185600040,5/22/2014,180000.0,2,1.0,1400,4500,1.0,NO,NONE,Average,7 Average,900,500.0,1922,0.0,98055,47.4866,-122.219,1400,5500
13605,3185600040,12/24/2014,310000.0,2,1.0,1400,4500,1.0,,NONE,Average,7 Average,900,500.0,1922,0.0,98055,47.4866,-122.219,1400,5500
13615,2023049218,7/16/2014,105500.0,2,1.0,930,7740,1.0,NO,NONE,Poor,5 Fair,930,0.0,1932,0.0,98148,47.4611,-122.324,1620,8584
13616,2023049218,3/16/2015,445000.0,2,1.0,930,7740,1.0,NO,NONE,Poor,5 Fair,930,0.0,1932,,98148,47.4611,-122.324,1620,8584
13646,3432501415,7/14/2014,265000.0,3,1.75,1170,8148,1.0,NO,NONE,Average,7 Average,1170,0.0,1952,0.0,98155,47.7479,-122.318,1200,8147
13647,3432501415,11/11/2014,399000.0,3,1.75,1170,8148,1.0,NO,NONE,Average,7 Average,1170,0.0,1952,0.0,98155,47.7479,-122.318,1200,8147
13679,937000330,12/24/2014,157000.0,3,1.5,1170,11530,1.0,NO,NONE,Average,7 Average,1170,0.0,1960,0.0,98198,47.4211,-122.29,1550,8605
13680,937000330,3/19/2015,246500.0,3,1.5,1170,11530,1.0,NO,NONE,Average,7 Average,1170,0.0,1960,0.0,98198,47.4211,-122.29,1550,8605
13721,5332200530,6/13/2014,910000.0,5,2.5,2350,4000,2.0,NO,NONE,Average,9 Better,2350,0.0,1993,0.0,98112,47.6265,-122.296,1840,4000
13722,5332200530,4/24/2015,1020000.0,5,2.5,2350,4000,2.0,NO,NONE,Average,9 Better,2350,0.0,1993,,98112,47.6265,-122.296,1840,4000
13743,1788900230,7/22/2014,86500.0,3,1.0,840,9480,1.0,NO,NONE,Average,6 Low Average,840,0.0,1960,0.0,98023,47.3277,-122.341,840,9420
13744,1788900230,4/3/2015,199950.0,3,1.0,840,9480,1.0,NO,NONE,Average,6 Low Average,840,0.0,1960,0.0,98023,47.3277,-122.341,840,9420
14207,1250201165,11/21/2014,441000.0,5,2.5,2000,3600,1.0,NO,NONE,Average,6 Low Average,1150,850.0,1987,0.0,98144,47.5971,-122.295,1410,3600
14208,1250201165,3/17/2015,474500.0,5,2.5,2000,3600,1.0,NO,NONE,Average,6 Low Average,1150,850.0,1987,0.0,98144,47.5971,-122.295,1410,3600
14294,3528000040,10/1/2014,1690000.0,3,3.25,5290,224442,2.0,NO,NONE,Good,11 Excellent,4540,750.0,1988,0.0,98053,47.6671,-122.051,3750,84936
14295,3528000040,3/26/2015,1800000.0,3,3.25,5290,224442,2.0,NO,NONE,Good,11 Excellent,4540,750.0,1988,0.0,98053,47.6671,-122.051,3750,84936
14353,3333002450,7/8/2014,165000.0,1,1.0,850,8050,1.0,NO,NONE,Fair,6 Low Average,850,0.0,1906,0.0,98118,47.5427,-122.288,1590,5180
14354,3333002450,1/22/2015,490000.0,1,1.0,850,8050,1.0,NO,NONE,Fair,6 Low Average,850,0.0,1906,0.0,98118,47.5427,-122.288,1590,5180
14470,3523069060,11/7/2014,290000.0,3,1.75,1340,63597,1.0,NO,NONE,Good,7 Average,1340,0.0,1963,0.0,98038,47.4379,-122.011,1950,87120
14471,3523069060,4/1/2015,415000.0,3,1.75,1340,63597,1.0,NO,NONE,Good,7 Average,1340,0.0,1963,0.0,98038,47.4379,-122.011,1950,87120
14560,1432400120,11/11/2014,165000.0,3,1.0,1010,7690,1.0,NO,NONE,Good,6 Low Average,1010,0.0,1958,,98058,47.4501,-122.176,1010,7619
14561,1432400120,5/8/2015,255000.0,3,1.0,1010,7690,1.0,NO,NONE,Good,6 Low Average,1010,0.0,1958,0.0,98058,47.4501,-122.176,1010,7619
14841,324000530,7/8/2014,201500.0,3,1.0,1320,5000,1.5,NO,NONE,Average,7 Average,1320,0.0,1912,,98116,47.5711,-122.386,1320,4179
14842,324000530,3/23/2015,459000.0,3,1.0,1320,5000,1.5,NO,NONE,Average,7 Average,1320,0.0,1912,0.0,98116,47.5711,-122.386,1320,4179
14968,6308000010,12/8/2014,585000.0,3,2.5,2290,5089,2.0,NO,NONE,Average,9 Better,2290,0.0,2001,0.0,98006,47.5443,-122.172,2290,7984
14969,6308000010,4/23/2015,585000.0,3,2.5,2290,5089,2.0,NO,NONE,Average,9 Better,2290,0.0,2001,0.0,98006,47.5443,-122.172,2290,7984
14979,4222310010,12/26/2014,152500.0,4,1.0,1730,7350,1.5,NO,NONE,Good,6 Low Average,1730,0.0,1970,,98003,47.3467,-122.307,1440,7752
14980,4222310010,4/20/2015,267950.0,4,1.0,1730,7350,1.5,NO,NONE,Good,6 Low Average,1730,0.0,1970,,98003,47.3467,-122.307,1440,7752
14987,7504021310,5/6/2014,525000.0,3,2.5,2970,11985,1.0,NO,NONE,Average,9 Better,1770,1200.0,1995,0.0,98074,47.6359,-122.052,2990,12049
14988,7504021310,12/4/2014,745000.0,3,2.5,2970,11985,1.0,,NONE,Average,9 Better,1770,1200.0,1995,0.0,98074,47.6359,-122.052,2990,12049
15132,7961500010,8/6/2014,245000.0,3,2.25,2210,10794,1.0,NO,NONE,Average,7 Average,1540,670.0,1967,0.0,98178,47.4911,-122.224,2230,10753
15133,7961500010,3/4/2015,520000.0,3,2.25,2210,10794,1.0,NO,NONE,Average,7 Average,1540,670.0,1967,0.0,98178,47.4911,-122.224,2230,10753
15142,6669020290,10/23/2014,169000.0,3,1.75,1720,9775,1.0,NO,NONE,Average,8 Good,1720,0.0,1978,,98032,47.3731,-122.286,1970,8400
15143,6669020290,3/4/2015,279950.0,3,1.75,1720,9775,1.0,NO,NONE,Average,8 Good,1720,0.0,1978,0.0,98032,47.3731,-122.286,1970,8400
15185,9834200305,7/16/2014,350000.0,3,1.0,1790,3876,1.5,NO,NONE,Very Good,7 Average,1090,?,1904,0.0,98144,47.575,-122.288,1360,4080
15186,9834200305,2/10/2015,615000.0,3,1.0,1790,3876,1.5,NO,NONE,Very Good,7 Average,1090,700.0,1904,0.0,98144,47.575,-122.288,1360,4080
15263,2619920170,10/1/2014,772500.0,4,2.5,3230,4290,2.0,NO,NONE,Average,9 Better,3230,0.0,2004,0.0,98033,47.6874,-122.161,3220,5083
15264,2619920170,12/19/2014,765000.0,4,2.5,3230,4290,2.0,NO,NONE,Average,9 Better,3230,0.0,2004,,98033,47.6874,-122.161,3220,5083
15285,705730280,8/19/2014,325000.0,3,2.5,1740,5267,2.0,NO,NONE,Average,7 Average,1740,0.0,1999,0.0,98038,47.3777,-122.023,2180,5000
15286,705730280,4/21/2015,335000.0,3,2.5,1740,5267,2.0,NO,NONE,Average,7 Average,1740,0.0,1999,0.0,98038,47.3777,-122.023,2180,5000
15351,7972000010,5/20/2014,120750.0,3,1.75,1140,9628,1.0,NO,NONE,Good,7 Average,1140,0.0,1969,,98023,47.2933,-122.372,1510,9633
15352,7972000010,10/21/2014,195000.0,3,1.75,1140,9628,1.0,NO,NONE,Good,7 Average,1140,0.0,1969,,98023,47.2933,-122.372,1510,9633
15454,4202400078,1/28/2015,175000.0,2,1.0,1410,7000,1.0,NO,NONE,Average,7 Average,1410,0.0,1968,,98055,47.4908,-122.223,1540,6000
15455,4202400078,4/28/2015,335000.0,2,1.0,1410,7000,1.0,NO,NONE,Average,7 Average,1410,0.0,1968,0.0,98055,47.4908,-122.223,1540,6000
15554,2560801222,6/18/2014,180000.0,3,2.25,1990,6350,2.0,NO,NONE,Average,7 Average,1990,0.0,1967,0.0,98198,47.3822,-122.316,1220,6250
15555,2560801222,11/13/2014,309950.0,3,2.25,1990,6350,2.0,,NONE,Average,7 Average,1990,0.0,1967,0.0,98198,47.3822,-122.316,1220,6250
15593,3904100089,8/1/2014,190000.0,3,1.75,1350,7370,1.0,NO,NONE,Good,6 Low Average,1350,0.0,1912,0.0,98118,47.5336,-122.278,1440,6000
15594,3904100089,3/18/2015,300000.0,3,1.75,1350,7370,1.0,NO,NONE,Good,6 Low Average,1350,0.0,1912,,98118,47.5336,-122.278,1440,6000
15642,7893805650,5/5/2014,210000.0,5,2.0,2050,10200,1.0,NO,NONE,Average,6 Low Average,1430,620.0,1956,0.0,98198,47.4136,-122.333,1940,8625
15643,7893805650,3/13/2015,475000.0,5,2.0,2050,10200,1.0,NO,NONE,Average,6 Low Average,1430,620.0,1956,0.0,98198,47.4136,-122.333,1940,8625
15787,2044500213,6/17/2014,310000.0,4,2.0,1870,6000,1.5,NO,NONE,Average,7 Average,1870,0.0,1956,,98125,47.7155,-122.315,1520,7169
15788,2044500213,1/26/2015,449000.0,4,2.0,1870,6000,1.5,NO,NONE,Average,7 Average,1870,0.0,1956,0.0,98125,47.7155,-122.315,1520,7169
15796,7129304540,12/20/2014,133000.0,5,2.0,1430,5600,1.5,NO,NONE,Average,6 Low Average,1430,0.0,1947,,98118,47.5192,-122.266,1860,5980
15797,7129304540,5/14/2015,440000.0,5,2.0,1430,5600,1.5,NO,NONE,Average,6 Low Average,1430,0.0,1947,0.0,98118,47.5192,-122.266,1860,5980
15986,2561340020,8/4/2014,325000.0,3,1.75,1780,11096,1.0,,NONE,Average,7 Average,1210,570.0,1979,0.0,98074,47.617,-122.051,1780,10640
15987,2561340020,2/17/2015,500000.0,3,1.75,1780,11096,1.0,NO,NONE,Average,7 Average,1210,570.0,1979,0.0,98074,47.617,-122.051,1780,10640
15998,5536100020,12/15/2014,987000.0,3,2.0,2160,15788,1.0,NO,NONE,Average,8 Good,2160,0.0,1951,0.0,98004,47.6227,-122.207,2260,9787
15999,5536100020,5/12/2015,1190000.0,3,2.0,2160,15788,1.0,NO,NONE,Average,8 Good,2160,0.0,1951,0.0,98004,47.6227,-122.207,2260,9787
16657,9250900104,11/10/2014,300000.0,5,1.75,2110,8500,1.0,NO,NONE,Average,7 Average,1100,1010.0,1962,0.0,98133,47.7737,-122.35,2020,8500
16658,9250900104,4/10/2015,496000.0,5,1.75,2110,8500,1.0,NO,NONE,Average,7 Average,1100,1010.0,1962,,98133,47.7737,-122.35,2020,8500
16800,7200179,10/16/2014,150000.0,2,1.0,840,12750,1.0,NO,NONE,Average,6 Low Average,840,0.0,1925,0.0,98055,47.484,-122.211,1480,6969
16801,7200179,4/24/2015,175000.0,2,1.0,840,12750,1.0,NO,NONE,Average,6 Low Average,840,0.0,1925,,98055,47.484,-122.211,1480,6969
17052,8651402750,2/18/2015,132825.0,3,1.5,1210,5200,1.0,,NONE,Very Good,6 Low Average,1210,0.0,1969,0.0,98042,47.3615,-122.087,1120,5200
17053,8651402750,4/30/2015,219950.0,3,1.5,1210,5200,1.0,NO,NONE,Very Good,6 Low Average,1210,0.0,1969,0.0,98042,47.3615,-122.087,1120,5200
17119,6143000020,10/27/2014,175000.0,3,1.75,1910,17003,1.5,NO,NONE,Good,8 Good,1910,0.0,1963,0.0,98001,47.3095,-122.283,1820,14806
17120,6143000020,4/6/2015,299000.0,3,1.75,1910,17003,1.5,NO,NONE,Good,8 Good,1910,0.0,1963,0.0,98001,47.3095,-122.283,1820,14806
17190,4139440480,6/26/2014,695000.0,3,2.75,2590,12063,2.0,NO,NONE,Average,10 Very Good,2590,0.0,1993,,98006,47.5527,-122.12,2850,8469
17191,4139440480,12/1/2014,796500.0,3,2.75,2590,12063,2.0,NO,NONE,Average,10 Very Good,2590,0.0,1993,0.0,98006,47.5527,-122.12,2850,8469
17266,2473380920,8/13/2014,206325.0,5,2.5,1720,10202,1.5,NO,NONE,Average,7 Average,1720,0.0,1970,0.0,98058,47.4572,-122.167,1720,8478
17267,2473380920,2/27/2015,339000.0,5,2.5,1720,10202,1.5,NO,NONE,Average,7 Average,1720,0.0,1970,0.0,98058,47.4572,-122.167,1720,8478
17276,1974300020,8/27/2014,380000.0,4,2.5,2270,11500,1.0,NO,NONE,Average,8 Good,1540,730.0,1967,0.0,98034,47.7089,-122.241,2020,10918
17277,1974300020,2/18/2015,624900.0,4,2.5,2270,11500,1.0,NO,NONE,Average,8 Good,1540,730.0,1967,,98034,47.7089,-122.241,2020,10918
17367,641900050,8/19/2014,335000.0,4,2.25,2160,8817,1.0,NO,NONE,Average,7 Average,1460,700.0,1965,0.0,98133,47.7595,-122.356,1880,8817
17368,641900050,2/6/2015,499950.0,4,2.25,2160,8817,1.0,NO,NONE,Average,7 Average,1460,700.0,1965,0.0,98133,47.7595,-122.356,1880,8817
17468,7387500235,5/15/2014,340000.0,3,1.75,1960,8136,1.0,NO,NONE,Average,7 Average,980,980.0,1948,0.0,98106,47.5208,-122.364,1070,7480
17469,7387500235,3/17/2015,363000.0,3,1.75,1960,8136,1.0,NO,NONE,Average,7 Average,980,980.0,1948,,98106,47.5208,-122.364,1070,7480
17566,1423049019,5/23/2014,90000.0,2,1.0,580,7500,1.0,NO,NONE,Average,5 Fair,580,0.0,1943,0.0,98178,47.4852,-122.251,1700,11250
17567,1423049019,3/31/2015,220000.0,2,1.0,580,7500,1.0,NO,NONE,Average,5 Fair,580,0.0,1943,0.0,98178,47.4852,-122.251,1700,11250
17588,795000620,9/24/2014,115000.0,3,1.0,1080,6250,1.0,NO,NONE,Fair,5 Fair,1080,0.0,1950,0.0,98168,47.5045,-122.33,1070,6250
17589,795000620,12/15/2014,124000.0,3,1.0,1080,6250,1.0,NO,NONE,Fair,5 Fair,1080,0.0,1950,0.0,98168,47.5045,-122.33,1070,6250
17590,795000620,3/11/2015,157000.0,3,1.0,1080,6250,1.0,,NONE,Fair,5 Fair,1080,0.0,1950,,98168,47.5045,-122.33,1070,6250
17749,1630700361,6/27/2014,530000.0,4,1.75,2860,48351,1.0,NO,NONE,Average,8 Good,1710,1150.0,1978,0.0,98077,47.7605,-122.085,2460,43560
17750,1630700361,4/9/2015,583500.0,4,1.75,2860,48351,1.0,NO,NONE,Average,8 Good,1710,1150.0,1978,0.0,98077,47.7605,-122.085,2460,43560
17837,6791200120,9/23/2014,480000.0,3,2.25,1820,13362,1.0,NO,NONE,Average,8 Good,1220,600.0,1977,0.0,98075,47.5898,-122.052,2050,15000
17838,6791200120,4/7/2015,515000.0,3,2.25,1820,13362,1.0,NO,NONE,Average,8 Good,1220,600.0,1977,0.0,98075,47.5898,-122.052,2050,15000
18219,6751300375,7/2/2014,415000.0,3,1.0,1520,9030,1.0,NO,NONE,Average,7 Average,1520,0.0,1956,0.0,98007,47.587,-122.134,1470,8712
18220,6751300375,10/16/2014,522500.0,3,1.0,1520,9030,1.0,NO,NONE,Average,7 Average,1520,0.0,1956,,98007,47.587,-122.134,1470,8712
18549,7657000540,9/2/2014,165000.0,4,1.0,1220,7980,1.5,NO,NONE,Average,6 Low Average,1220,0.0,1944,0.0,98178,47.4924,-122.237,1210,7920
18550,7657000540,3/4/2015,260000.0,4,1.0,1220,7980,1.5,NO,NONE,Average,6 Low Average,1220,0.0,1944,0.0,98178,47.4924,-122.237,1210,7920
18688,3558900590,11/25/2014,360000.0,6,1.75,2230,10080,1.0,NO,NONE,Average,7 Average,1390,840.0,1969,0.0,98034,47.7089,-122.201,2110,8475
18689,3558900590,3/24/2015,692500.0,6,1.75,2230,10080,1.0,NO,NONE,Average,7 Average,1390,840.0,1969,0.0,98034,47.7089,-122.201,2110,8475
18690,8121100395,6/24/2014,425000.0,4,1.5,1600,6180,1.5,NO,NONE,Average,6 Low Average,1600,0.0,1946,0.0,98118,47.5681,-122.285,1410,6180
18691,8121100395,3/11/2015,645000.0,4,1.5,1600,6180,1.5,NO,NONE,Average,6 Low Average,1600,0.0,1946,0.0,98118,47.5681,-122.285,1410,6180
